Class_ID, Name, Sample_Num, Flag
n000001, "14th_Dalai_Lama", 424, 0
n000002, "A_Fine_Frenzy", 315, 1
n000003, "A._A._Gill", 205, 1
n000004, "A._J._Buckley", 387, 1
n000005, "A._J._Pierzynski", 229, 1
n000006, "A._R._Rahman", 485, 1
n000007, "A._Raja", 259, 1
n000008, "AB_de_Villiers", 273, 1
n000009, "AYAMI", 136, 0
n000010, "Aamani", 156, 1
n000011, "Aamna_Sharif", 380, 1
n000012, "Aaron_Ashmore", 382, 1
n000013, "Aaron_Hernandez", 314, 1
n000014, "Aaron_Lennon", 288, 1
n000015, "Aaron_Motsoaledi", 248, 1
n000016, "Aaron_Ramsey", 449, 1
n000017, "Aaron_Rodgers", 319, 1
n000018, "Aaron_Schock", 283, 1
n000019, "Aaron_Stanford", 374, 1
n000020, "Aaron_Taylor-Johnson", 450, 1
n000021, "Aaron_Tippin", 286, 1
n000022, "Aarti_Chhabria", 396, 1
n000023, "Aaron_Diaz", 398, 1
n000024, "Abbey_Clancy", 451, 1
n000025, "Abby_Elliott", 309, 1
n000026, "Abdelaziz_Bouteflika", 373, 1
n000027, "Abdul_Hadi_Awang", 382, 1
n000028, "Abdul_Qadeer_Khan", 264, 1
n000029, "Abdullah_II_of_Jordan", 454, 0
n000030, "Abdullatif_Sener", 268, 1
n000031, "Abel_Braga", 305, 1
n000032, "Abhay_Deol", 519, 1
n000033, "Abhinav_Bindra", 357, 1
n000034, "Abou_Diaby", 306, 1
n000035, "Abu_Qatada", 237, 1
n000036, "Aburizal_Bakrie", 374, 1
n000037, "Aby_Rosen", 206, 1
n000038, "Aca_Lukas", 419, 1
n000039, "Acha_Septriasa", 376, 1
n000040, "Aco_Petrovic", 180, 0
n000041, "Acun_Ilicali", 391, 1
n000042, "Ada_Yonath", 265, 1
n000043, "Adah_Sharma", 493, 1
n000044, "Adal_Ramones", 364, 1
n000045, "Adam_Alsing", 246, 1
n000046, "Adam_Ashley-Cooper", 411, 1
n000047, "Adam_Bandt", 330, 1
n000048, "Adam_Boniecki", 216, 1
n000049, "Adam_Darski", 440, 1
n000050, "Adam_Duritz", 400, 1
n000051, "Adam_Gilchrist", 327, 1
n000052, "Adam_Housley", 212, 1
n000053, "Adam_Irigoyen", 381, 1
n000054, "Adam_Johnson", 438, 1
n000055, "Adam_Lallana", 450, 1
n000056, "Adam_Liaw", 304, 1
n000057, "Adam_Michnik", 365, 1
n000058, "Adam_Nawalka", 444, 1
n000059, "Adam_Pascal", 346, 1
n000060, "Adam_Richman", 495, 1
n000061, "Adam_Rodriguez", 376, 1
n000062, "Adam_Schiff", 321, 1
n000063, "Adam_Senn", 437, 1
n000064, "Adam_Silver", 378, 1
n000065, "Adam_Sztaba", 394, 1
n000066, "Adam_Yauch", 339, 1
n000067, "Adamari_Lopez", 511, 1
n000068, "Addison_Timlin", 304, 1
n000069, "Additi_Gupta", 398, 1
n000070, "Adel_Taarabt", 422, 1
n000071, "Adele_Silva", 320, 1
n000072, "Adelina_Ismajli", 306, 1
n000073, "Adelinde_Cornelissen", 320, 1
n000074, "Aden_Young", 259, 1
n000075, "Aderbal_Freire_Filho", 192, 1
n000076, "Adewale_Akinnuoye-Agbaje", 304, 1
n000077, "Adhyaksa_Dault", 319, 1
n000078, "Adhyayan_Suman", 458, 0
n000079, "Adil_Rami", 448, 1
n000080, "Aditi_Rao_Hydari", 594, 1
n000081, "Aditya_Roy_Kapur", 536, 1
n000082, "Aditya_Seal", 441, 0
n000083, "Aditya_Srivastava", 498, 1
n000084, "Aditya_Thackeray", 448, 1
n000085, "Admir_Mehmedi", 454, 1
n000086, "Adnan_Sami", 438, 1
n000087, "Adrian_Newey", 434, 1
n000088, "Adrian_Pasdar", 386, 1
n000089, "Adrian_Sutil", 303, 1
n000090, "Adriana_Ugarte", 469, 1
n000091, "Adriana_Vasini", 206, 1
n000092, "Adrianna_Costa", 250, 1
n000093, "Adrianne_Leon", 176, 1
n000094, "Adriano_Leite_Ribeiro", 432, 1
n000095, "Adriean_Videanu", 216, 1
n000096, "Adrien_Broner", 425, 1
n000097, "Adrienne_Bailon", 603, 1
n000098, "Adrienne_Frantz", 482, 1
n000099, "Adrienne_Janic", 346, 1
n000100, "Adrienne_Maloof", 485, 1
n000101, "Adan_Chavez", 285, 1
n000102, "Adilson_Batista", 375, 1
n000103, "Aftab_Shivdasani", 572, 1
n000104, "Agata_Buzek", 445, 1
n000105, "Agata_Kulesza", 515, 1
n000106, "Agata_Passent", 279, 0
n000107, "Agnes_Zawadzki", 226, 1
n000108, "Agneta_Sjodin", 401, 1
n000109, "Agnieszka_Grochowska", 478, 1
n000110, "Agnieszka_Maciag", 359, 1
n000111, "Agnieszka_Radwanska", 511, 1
n000112, "Agnieszka_Wagner", 283, 1
n000113, "Agnieszka_Wlodarczyk", 217, 1
n000114, "Agnes_Jaoui", 336, 1
n000115, "Agot_Isidro", 301, 1
n000116, "Agung_Laksono", 440, 1
n000117, "Agus_Martowardojo", 371, 1
n000118, "Agustina_Cherri", 392, 1
n000119, "Agustina_Cordova", 207, 1
n000120, "Agustin_Carstens", 417, 1
n000121, "Agustin_Creevy", 349, 1
n000122, "Agustin_Orion", 365, 1
n000123, "Agustin_Pichot", 316, 1
n000124, "Ahlam", 310, 1
n000125, "Ahmad_Haidar", 186, 1
n000126, "Ahmad_Zahid_Hamidi", 429, 1
n000127, "Ahmed_Elmohamady", 271, 1
n000128, "Ahmed_Shehzad", 207, 1
